ID,epidural,intraparenchymal,subarachnoid
test_66,0.009712219,0.021087646,0.099975586
test_67,0.052337646,0.8413086,0.9707031
test_68,0.044006348,0.5625,0.20129395
test_69,0.005886078,0.052337646,0.29125977
test_70,0.89746094,0.02017212,0.31689453
test_71,0.019226074,0.9614258,0.30810547
test_72,0.002286911,0.043701172,0.0927124
test_73,0.19763184,0.3996582,0.7397461
test_74,0.0070114136,0.7895508,0.69189453
test_75,0.053497314,0.0970459,0.1161499
test_76,0.32177734,0.021362305,0.03970337
test_78,0.007205963,0.12261963,0.12512207
test_79,0.04345703,0.20031738,0.69921875
test_80,0.1817627,0.17333984,0.12261963
test_81,0.051086426,0.16711426,0.19958496
test_82,0.21179199,0.030883789,0.36694336
test_83,0.005466461,0.5722656,0.26293945
test_84,0.008415222,0.4794922,0.17272949
test_85,0.08679199,0.0345459,0.06072998
test_86,0.112976074,0.21801758,0.07849121
test_87,0.014389038,0.97265625,0.6948242
test_88,0.0026416779,0.9506836,0.46679688
test_89,0.13806152,0.07891846,0.20715332
test_90,0.012527466,0.057617188,0.053771973
test_91,0.10412598,0.044677734,0.46118164
test_92,0.2421875,0.07489014,0.16564941
test_93,0.2368164,0.15722656,0.38671875
test_94,0.023284912,0.36108398,0.9472656
test_95,0.16455078,0.1595459,0.4345703
test_96,0.05441284,0.04031372,0.42871094
test_97,0.3005371,0.98828125,0.094177246
test_98,0.055511475,0.9863281,0.50390625
test_99,0.00831604,0.16906738,0.39990234
test_100,0.085998535,0.07208252,0.70703125
test_101,0.06793213,0.19689941,0.24523926
test_102,0.7294922,0.34277344,0.39135742
test_103,0.017501831,0.049041748,0.22033691
test_104,0.6748047,0.72509766,0.027282715
test_105,0.42382812,0.039123535,0.033447266
test_106,0.6352539,0.09667969,0.10144043
test_107,0.04107666,0.54052734,0.69873047
test_108,0.31567383,0.14147949,0.09338379
test_109,0.6303711,0.09588623,0.38183594
test_110,0.049957275,0.8364258,0.58447266
test_111,0.21691895,0.6533203,0.46875
test_112,0.16003418,0.052246094,0.09429932
test_113,0.033447266,0.053497314,0.12817383
test_114,0.08178711,0.027999878,0.042907715
test_115,0.023330688,0.41088867,0.9838867
test_116,0.27294922,0.13659668,0.8671875
test_117,0.032104492,0.70458984,0.15808105
test_118,0.009376526,0.41625977,0.44604492
test_119,0.70947266,0.029937744,0.4621582
test_120,0.18041992,0.080200195,0.51220703
test_121,0.018447876,0.8886719,0.69970703
test_122,0.0032730103,0.9370117,0.3544922
test_123,0.09863281,0.99316406,0.8642578
test_125,0.0054893494,0.5576172,0.90234375
test_126,0.015594482,0.6958008,0.8574219
test_127,0.0054893494,0.3330078,0.3125
test_128,0.019607544,0.6621094,0.37109375
test_129,0.0045928955,0.19543457,0.984375
test_130,0.011459351,0.99609375,0.20544434
test_131,0.004070282,0.9086914,0.48950195
test_132,0.04699707,0.96240234,0.58251953
test_133,0.0012397766,0.99121094,0.2758789
test_134,0.00793457,0.6582031,0.94384766
test_135,0.0057525635,0.5761719,0.4621582
test_136,0.006877899,0.95947266,0.81347656
test_137,0.008277893,0.9291992,0.14916992
test_138,0.0030517578,0.45751953,0.07727051
test_139,0.041534424,0.95166016,0.6928711
test_140,0.05419922,0.5473633,0.85546875
test_141,0.0071487427,0.9526367,0.27441406
test_142,0.0066184998,0.9951172,0.671875
test_143,0.0059776306,0.6870117,0.4794922
test_144,0.04360962,0.64941406,0.2331543
test_146,0.02116394,0.5048828,0.09088135
test_147,0.01210022,0.97802734,0.07861328
test_148,0.006587982,0.89453125,0.089660645
test_149,0.008094788,0.44628906,0.8959961
test_150,0.03515625,0.1262207,0.6245117
test_151,0.1381836,0.8642578,0.2890625
test_152,0.0357666,0.91503906,0.22167969
test_154,0.04940796,0.97998047,0.43310547
test_155,0.03656006,0.044433594,0.58935547
test_156,0.08648682,0.7792969,0.90771484
test_157,0.006000519,0.12939453,0.09716797
test_158,0.0017967224,0.9614258,0.4494629
test_159,0.0023422241,0.3227539,0.28515625
test_160,0.008743286,0.9560547,0.044433594
test_161,0.00242424,0.7207031,0.40283203
test_162,0.21057129,0.9970703,0.77685547
test_163,0.0037212372,0.88134766,0.91503906
test_164,0.017303467,0.30151367,0.95947266
test_165,0.0028324127,0.1439209,0.33081055
test_166,0.27783203,0.123535156,0.97509766
test_167,0.007205963,0.9482422,0.38793945
test_168,0.024749756,0.39648438,0.9902344
test_169,0.008811951,0.9550781,0.08862305
test_170,0.0018453598,0.90283203,0.34716797
test_171,0.059417725,0.24926758,0.68652344
test_172,0.04360962,0.5761719,0.9604492
test_173,0.0103302,0.85595703,0.5234375
test_174,0.02494812,0.8535156,0.7675781
test_175,0.017990112,0.7314453,0.36669922
test_176,0.0020999908,0.5541992,0.64990234
test_177,0.026062012,0.9707031,0.16027832
test_178,0.0042152405,0.68603516,0.9326172
test_179,0.19165039,0.47753906,0.9941406
test_180,0.021621704,0.23144531,0.5517578
test_181,0.006263733,0.75341797,0.20910645
test_182,0.0029582977,0.95410156,0.48388672
test_183,0.02848816,0.87841797,0.3388672
test_184,0.025863647,0.95166016,0.4206543
test_185,0.0020751953,0.921875,0.21618652
test_186,0.005844116,0.0703125,0.15917969
test_187,0.022628784,0.90625,0.93359375
test_188,0.0927124,0.81396484,0.33569336
test_189,0.021697998,0.16662598,0.62597656
test_190,0.009231567,0.96435547,0.4621582
test_191,0.0027160645,0.8051758,0.61621094
test_192,0.024612427,0.8598633,0.16223145
test_193,0.009269714,0.61083984,0.96435547
test_194,0.21899414,0.069885254,0.3322754
test_195,0.00308609,0.99609375,0.25878906
test_196,0.002653122,0.6586914,0.07824707
test_197,0.16772461,0.80566406,0.80908203
test_198,0.018981934,0.33398438,0.8339844
test_199,0.005039215,0.99609375,0.5180664
test_200,0.005039215,0.9589844,0.7338867
test_201,0.014175415,0.96875,0.32177734
test_202,0.005531311,0.9404297,0.43359375
test_203,0.014335632,0.2607422,0.23278809
test_204,0.012626648,0.9892578,0.10498047
test_205,0.052246094,0.14257812,0.5209961
test_206,0.016281128,0.5078125,0.4453125
test_207,0.046722412,0.99609375,0.5239258
test_208,0.020767212,0.13208008,0.49414062
test_209,0.0042152405,0.9863281,0.25756836
test_210,0.006122589,0.98095703,0.4345703
test_211,0.009788513,0.47070312,0.97802734
test_212,0.006668091,0.8720703,0.11248779
test_213,0.0020580292,0.8256836,0.35595703
test_214,0.042907715,0.49414062,0.44213867
test_215,0.0033111572,0.9770508,0.4975586
test_216,0.011734009,0.23144531,0.17492676
test_217,0.002571106,0.96972656,0.34960938
test_218,0.12573242,0.7675781,0.9277344
test_219,0.006389618,0.9526367,0.44921875
test_220,0.00349617,0.9873047,0.1439209
test_221,0.011779785,0.9482422,0.14624023
test_222,0.0033359528,0.9838867,0.6748047
test_223,0.014007568,0.98291016,0.6508789
test_224,0.02848816,0.09893799,0.45629883
test_225,0.020248413,0.24450684,0.9873047
test_226,0.020248413,0.9951172,0.8701172
test_227,0.0056877136,0.93847656,0.32177734
test_228,0.007347107,0.96875,0.4555664
test_229,0.0012550354,0.39331055,0.7475586
test_230,0.039642334,0.9658203,0.5761719
test_231,0.037322998,0.28833008,0.15332031
test_232,0.0064888,0.9790039,0.24658203
test_233,0.094177246,0.9770508,0.07879639
test_234,0.0033245087,0.98095703,0.10266113
test_235,0.00831604,0.97314453,0.28295898
test_236,0.011154175,0.96240234,0.04144287
test_237,0.0077209473,0.97802734,0.7026367
test_238,0.011024475,0.29418945,0.099121094
test_239,0.0021820068,0.9165039,0.75097656
test_240,0.008880615,0.15039062,0.12976074
test_241,0.006542206,0.94970703,0.04525757
test_242,0.04336548,0.15966797,0.24707031
test_243,0.013793945,0.8598633,0.5449219
test_244,0.0022525787,0.65771484,0.44921875
test_245,0.012817383,0.9951172,0.65185547
test_246,0.41625977,1.0,0.2915039
test_247,0.016983032,0.9902344,0.07861328
test_248,0.05899048,0.108947754,0.18395996
test_249,0.01020813,0.9326172,0.11468506
test_250,0.0014104843,0.61816406,0.41235352
test_251,0.033721924,0.9194336,0.69873047
test_252,0.005218506,0.98095703,0.1459961
test_253,0.008094788,0.8676758,0.123291016
test_254,0.0059127808,0.51416016,0.82177734
test_255,0.008216858,0.94921875,0.23571777
test_256,0.021255493,0.9667969,0.081970215
test_257,0.007286072,0.875,0.30297852
test_258,0.039276123,0.82714844,0.94189453
test_259,0.027755737,0.97802734,0.71728516
test_260,0.22717285,0.98095703,0.24291992
test_261,0.006668091,0.96533203,0.1850586
test_262,0.0034046173,0.98828125,0.73046875
test_263,0.0050811768,0.14086914,0.35498047
test_264,0.017044067,0.62060547,0.2565918
test_265,0.0046463013,0.95703125,0.2915039
test_266,0.0068511963,0.26757812,0.984375
test_267,0.011116028,0.7373047,0.34057617
test_268,0.008514404,0.98828125,0.24853516
test_269,0.0692749,0.9941406,0.4189453
test_270,0.008773804,0.734375,0.453125
test_271,0.1574707,0.024337769,0.016082764
test_272,0.023513794,0.92333984,0.5488281
test_273,0.22167969,0.12561035,0.9921875
test_274,0.0016107559,0.9038086,0.36108398
test_275,0.011291504,0.9604492,0.103393555
test_276,0.019454956,0.8432617,0.55078125
test_277,0.0017824173,0.8154297,0.6660156
test_278,0.004486084,0.96777344,0.5776367
test_279,0.010528564,0.113586426,0.97802734
test_280,0.0018815994,0.95410156,0.48657227
test_281,0.005935669,0.38793945,0.7519531
test_282,0.13964844,0.90771484,0.44360352
test_283,0.19104004,0.61279297,0.16308594
test_284,0.015731812,0.28076172,0.62158203
test_285,0.072021484,0.4177246,0.089782715
test_286,0.006389618,0.99121094,0.18408203
test_287,0.049560547,0.9902344,0.08630371
test_288,0.0026836395,0.6484375,0.71777344
test_289,0.037109375,0.5986328,0.71777344
test_290,0.005367279,0.88671875,0.49560547
test_291,0.13415527,0.20825195,0.023025513
test_292,0.054107666,0.98095703,0.08465576
test_293,0.0056877136,0.8730469,0.39257812
test_294,0.05908203,0.4807129,0.66259766
test_295,0.009819031,0.82958984,0.19799805
test_296,0.12402344,0.1821289,0.04208374
test_297,0.009674072,0.4267578,0.32543945
test_298,0.006122589,0.9243164,0.5649414
test_299,0.0019721985,0.39379883,0.47143555
test_300,0.032958984,0.9902344,0.2298584
test_301,0.011024475,0.17749023,0.089782715
test_302,0.0077819824,0.48754883,0.5126953
test_303,0.0016803741,0.94628906,0.74316406
test_304,0.8881836,0.95410156,0.53466797
test_305,0.007850647,0.99609375,0.24377441
test_306,0.005958557,0.10803223,0.053588867
test_307,0.00818634,0.7084961,0.14892578
test_308,0.031799316,0.99316406,0.5708008
test_309,0.119628906,0.7319336,0.57128906
test_310,0.05532837,0.9873047,0.8574219
test_311,0.00919342,0.3083496,0.21838379
test_312,0.036895752,0.98828125,0.19152832
test_313,0.030395508,0.94921875,0.42993164
test_314,0.0033111572,0.9941406,0.25195312
test_315,0.51416016,0.7939453,0.23876953
test_316,0.93847656,0.9941406,0.48535156
test_317,0.025177002,0.98828125,0.9091797
test_318,0.014556885,0.8881836,0.76660156
test_319,0.030273438,0.5439453,0.3564453
test_320,0.003063202,0.96435547,0.86621094
test_321,0.13024902,0.97314453,0.8359375
test_322,0.0044021606,0.98095703,0.2241211
test_323,0.047454834,0.62597656,0.89746094
test_324,0.030944824,0.99609375,0.64453125
test_325,0.17053223,0.6557617,0.13317871
test_326,0.14587402,0.42163086,0.51464844
test_327,0.03677368,0.9921875,0.75683594
test_328,0.0048103333,0.9448242,0.49951172
test_329,0.002313614,0.9892578,0.107299805
test_330,0.023101807,0.95703125,0.41064453
test_331,0.08239746,0.9819336,0.11639404
test_332,0.025421143,0.14526367,0.30322266
test_333,0.017303467,0.53515625,0.29833984
test_334,0.029296875,0.09942627,0.5551758
test_335,0.0068244934,0.07299805,0.13195801
test_336,0.004886627,0.5644531,0.890625
test_337,0.0070343018,0.99121094,0.5722656
test_338,0.035888672,0.39404297,0.69384766
test_339,0.123535156,0.97802734,0.45703125
test_340,0.006668091,0.96875,0.36938477
test_341,0.0049057007,0.56884766,0.25
test_342,0.0071487427,0.9716797,0.5410156
test_343,0.0041007996,0.97998047,0.5449219
test_344,0.018585205,0.98095703,0.08618164
test_345,0.0046653748,0.99121094,0.34936523
test_346,0.013221741,0.7270508,0.17419434
test_347,0.030212402,0.89208984,0.31713867
test_348,0.0019493103,0.9589844,0.16235352
test_349,0.0031471252,0.7988281,0.49414062
test_350,0.0053215027,0.9741211,0.27905273
test_351,0.091674805,0.9472656,0.8964844
test_352,0.002866745,0.115112305,0.4399414
test_353,0.005958557,0.3166504,0.68359375
test_354,0.007965088,0.98291016,0.22558594
test_355,0.0049057007,0.8984375,0.6015625
test_356,0.002779007,0.43310547,0.85498047
test_357,0.008384705,0.9580078,0.2220459
test_358,0.020217896,0.6455078,0.5288086
test_359,0.0012350082,0.9707031,0.14013672
test_360,0.0057525635,0.9819336,0.107666016
test_361,0.042938232,0.93115234,0.5180664
test_362,0.008712769,0.984375,0.7128906
test_363,0.004070282,0.92333984,0.4152832
test_364,0.027893066,0.9194336,0.62158203
test_365,0.0035800934,0.9326172,0.10913086
test_366,0.012771606,0.91259766,0.34521484
test_367,0.0071487427,0.25610352,0.17700195
test_368,0.008674622,0.97265625,0.15649414
test_369,0.005180359,0.8720703,0.35791016
test_370,0.0033493042,0.4025879,0.98535156
test_371,0.008255005,0.97802734,0.07513428
test_372,0.002620697,0.70947266,0.58740234
test_373,0.19592285,0.93408203,0.74658203
test_374,0.005039215,0.38964844,0.94189453
test_375,0.01763916,0.4152832,0.21569824
test_376,0.0042648315,0.9873047,0.17651367
test_377,0.0024433136,0.50927734,0.74072266
test_378,0.017242432,0.97314453,0.96972656
test_379,0.009124756,0.1817627,0.06512451
test_380,0.0032100677,0.95166016,0.78027344
test_381,0.030044556,0.19482422,0.41235352
test_382,0.0037956238,0.96875,0.09942627
test_383,0.0025901794,0.90625,0.36889648
test_384,0.007347107,0.8330078,0.39453125
test_385,0.0025024414,0.65722656,0.09875488
test_386,0.011917114,0.8173828,0.74316406
test_387,0.0032596588,0.22143555,0.20983887
test_388,0.015731812,0.9760742,0.12475586
test_389,0.046875,0.82470703,0.11206055
test_390,0.26782227,0.1586914,0.10876465
test_391,0.0056648254,0.99316406,0.64501953
test_392,0.00579834,0.24060059,0.8598633
test_393,0.0184021,0.97265625,0.24060059
test_394,0.0048675537,0.8183594,0.5024414
test_395,0.009635925,0.45629883,0.90478516
test_396,0.025314331,0.984375,0.30395508
test_397,0.064086914,0.9970703,0.18347168
test_398,0.008094788,0.9819336,0.5410156
test_399,0.019577026,0.9472656,0.3623047
test_400,0.0036239624,0.9902344,0.082092285
test_401,0.0062408447,0.9658203,0.7446289
test_402,0.0066375732,0.8120117,0.07299805
test_403,0.0059776306,0.5209961,0.57128906
test_404,0.015007019,0.9921875,0.5839844
test_405,0.010696411,0.96875,0.47680664
test_406,0.009971619,0.1104126,0.15820312
test_407,0.24401855,0.33862305,0.38549805
test_408,0.032104492,0.9667969,0.47485352
test_409,0.026748657,0.9394531,0.5463867
test_410,0.015136719,0.5839844,0.9941406
test_411,0.0018167496,0.9194336,0.16345215
test_412,0.0054893494,0.98095703,0.083618164
test_413,0.013168335,0.89990234,0.52490234
test_414,0.009597778,0.5546875,0.7055664
test_415,0.0042800903,0.91015625,0.33398438
test_416,0.005554199,0.8491211,0.33081055
test_417,0.012054443,0.94970703,0.72998047
test_418,0.010612488,0.9838867,0.22912598
test_419,0.015838623,0.9951172,0.39526367
test_420,0.012771606,0.85253906,0.19555664
test_421,0.009155273,0.17871094,0.78759766
test_422,0.0030059814,0.72998047,0.19873047
test_423,0.008514404,0.47851562,0.66259766
test_424,0.006587982,0.4309082,0.4946289
test_425,0.005203247,0.8828125,0.35498047
test_426,0.042816162,0.23144531,0.05996704
test_427,0.016983032,0.47192383,0.13562012
test_428,0.014785767,0.9770508,0.43237305
test_429,0.015136719,0.96240234,0.5605469
test_430,0.0047721863,0.81640625,0.13769531
test_431,0.014663696,0.22912598,0.14208984
test_432,0.002866745,0.96875,0.07055664
test_433,0.18322754,0.31323242,0.06201172
test_434,0.0070343018,0.97802734,0.11853027
test_435,0.012481689,0.36889648,0.90722656
test_436,0.09283447,0.17370605,0.15075684
test_437,0.0018453598,0.97265625,0.22558594
test_438,0.14196777,0.95410156,0.49145508
test_439,0.023208618,0.14147949,0.93847656
test_440,0.005554199,0.3251953,0.62353516
test_441,0.1159668,0.58447266,0.9301758
test_442,0.03390503,0.25146484,0.23535156
test_443,0.011550903,0.5595703,0.6401367
test_444,0.008544922,0.76464844,0.4501953
test_445,0.003484726,0.9892578,0.68896484
test_446,0.017044067,0.98095703,0.90527344
test_447,0.20153809,0.7373047,0.8642578
test_448,0.0018386841,0.8203125,0.65966797
test_449,0.009521484,0.97314453,0.072753906
test_450,0.008384705,0.98535156,0.4182129
test_451,0.02406311,0.12030029,0.19458008
test_452,0.007820129,0.97998047,0.27563477
test_453,0.021850586,0.13989258,0.29125977
test_454,0.08648682,0.69433594,0.20898438
test_455,0.06866455,0.9536133,0.6503906
test_456,0.014785767,0.04168701,0.62646484
test_457,0.0037078857,0.19348145,0.32788086
test_458,0.0025100708,0.96875,0.26098633
test_459,0.0056419373,0.8041992,0.59765625
test_460,0.0015306473,0.32177734,0.19396973
test_461,0.009269714,0.8491211,0.2578125
test_463,0.0033359528,0.9951172,0.50927734
test_464,0.23144531,0.57470703,0.8071289
test_465,0.011871338,0.61621094,0.24804688
test_466,0.001912117,0.8051758,0.6254883
test_467,0.0018167496,0.8364258,0.4091797
test_468,0.0048294067,0.7817383,0.5292969
test_469,0.009231567,0.9741211,0.15063477
test_471,0.008155823,0.7973633,0.5073242
test_472,0.0026741028,0.95166016,0.62060547
test_473,0.003063202,0.26049805,0.79248047
test_474,0.014450073,0.9838867,0.41088867
test_475,0.017715454,0.12756348,0.9375
test_476,0.055603027,0.96240234,0.12597656
test_477,0.009155273,0.98535156,0.15161133
test_478,0.009376526,0.46289062,0.19335938
test_479,0.0056419373,0.4182129,0.56347656
test_480,0.013374329,0.9526367,0.30029297
test_481,0.18920898,0.92333984,0.8330078
test_482,0.007575989,0.98291016,0.89990234
test_483,0.041931152,0.81933594,0.7109375
test_484,0.0104522705,0.9604492,0.2709961
test_485,0.73339844,0.99902344,0.2154541
test_486,0.11639404,0.60498047,0.93359375
test_487,0.029296875,0.63623047,0.88183594
test_488,0.048583984,0.10217285,0.18347168
test_489,0.0017213821,0.8461914,0.2770996
test_490,0.0103302,0.5986328,0.8798828
test_491,0.010864258,0.9873047,0.12756348
test_492,0.0025310516,0.8798828,0.86035156
test_493,0.0024337769,0.96240234,0.29516602
test_494,0.0066947937,0.9760742,0.14941406
test_495,0.011024475,0.37475586,0.25146484
test_496,0.06573486,0.34179688,0.8203125
test_497,0.016845703,0.6152344,0.55615234
test_498,0.008613586,0.26000977,0.9326172
test_499,0.010734558,0.76416016,0.24926758
test_500,0.006263733,0.32055664,0.8852539
test_501,0.012870789,0.16052246,0.8911133
test_502,0.0047950745,0.9873047,0.058654785
test_503,0.0031223297,0.94140625,0.66503906
test_504,0.4519043,0.24572754,0.042633057
test_505,0.009017944,0.9941406,0.81396484
test_506,0.0051002502,0.13757324,0.36157227
test_507,0.06317139,0.80322266,0.66259766
test_508,0.0033493042,0.78808594,0.18713379
test_509,0.0069885254,0.87841797,0.14233398
test_510,0.0038394928,0.7939453,0.9580078
test_511,0.087524414,0.8959961,0.6879883
test_512,0.0044517517,0.9536133,0.09875488
test_513,0.0054893494,0.28955078,0.11102295
test_514,0.0023059845,0.9536133,0.73876953
test_515,0.015136719,0.9819336,0.22033691
test_516,0.0055732727,0.7944336,0.6503906
test_517,0.054504395,0.6323242,0.15429688
test_518,0.006717682,0.14501953,0.359375
test_519,0.0057525635,0.73876953,0.7573242
test_520,0.0045204163,0.8828125,0.08270264
test_521,0.0064353943,0.0501709,0.13293457
test_522,0.036987305,0.8691406,0.6772461
test_523,0.042907715,0.9291992,0.91015625
test_524,0.8154297,0.21569824,0.5019531
test_525,0.008674622,0.05078125,0.23706055
test_526,0.00308609,0.95410156,0.39624023
test_527,0.054504395,0.7084961,0.42529297
test_528,0.0023059845,0.43432617,0.30200195
test_529,0.02935791,0.057495117,0.13317871
test_530,0.018508911,0.8408203,0.4428711
test_531,0.08526611,0.13269043,0.13757324
test_532,0.026062012,0.10192871,0.39746094
test_533,0.007820129,0.73583984,0.99316406
test_534,0.13684082,0.921875,0.36206055
test_535,0.01927185,0.93115234,0.09283447
test_536,0.030334473,0.4921875,0.33740234
test_537,0.20385742,0.91503906,0.80810547
test_538,0.005886078,0.28442383,0.5161133
test_539,0.00919342,0.921875,0.48486328
test_540,0.006072998,0.9902344,0.4267578
test_541,0.026321411,0.047790527,0.06021118
test_542,0.0052604675,0.34155273,0.9951172
test_543,0.013580322,0.21191406,0.9604492
test_544,0.15454102,0.31396484,0.03378296
test_545,0.015838623,0.29052734,0.55078125
test_546,0.009056091,0.98828125,0.24243164
test_547,0.025421143,0.9770508,0.4189453
test_548,0.0042304993,0.8881836,0.44799805
test_549,0.0042800903,0.9863281,0.53759766
test_550,0.013374329,0.8232422,0.5073242
test_551,0.016082764,0.9506836,0.42163086
test_552,0.005531311,0.86279297,0.7680664
test_553,0.010292053,0.99609375,0.16125488
test_554,0.022888184,0.29638672,0.053100586
test_555,0.009971619,0.87158203,0.84228516
test_556,0.033599854,0.49560547,0.6191406
test_557,0.0046806335,0.94384766,0.15710449
test_558,0.07543945,0.27294922,0.31323242
test_559,0.030883789,0.9980469,0.33691406
test_560,0.00919342,0.9873047,0.06524658
test_561,0.011550903,0.80371094,0.15393066
test_562,0.014503479,0.5522461,0.049224854
test_563,0.5629883,0.7397461,0.9111328
test_564,0.020812988,0.26000977,0.2685547
test_565,0.0067749023,0.90283203,0.39624023
test_566,0.0035514832,0.9873047,0.56396484
test_567,0.07904053,0.94384766,0.46557617
test_568,0.10015869,0.99121094,0.18469238
test_569,0.006958008,0.55908203,0.8691406
test_570,0.0057525635,0.123291016,0.9560547
test_571,0.012191772,0.62597656,0.8413086
test_572,0.0054512024,0.9589844,0.91845703
test_573,0.0060272217,0.93408203,0.0947876
test_574,0.0018310547,0.9790039,0.6816406
test_575,0.008216858,0.3173828,0.23400879
test_576,0.0025024414,0.99121094,0.8154297
test_577,0.98535156,0.9921875,0.9448242
test_578,0.03161621,0.99121094,0.19274902
test_579,0.015731812,0.19238281,0.9614258
test_580,0.005531311,0.9326172,0.92089844
test_581,0.0035114288,0.9741211,0.22265625
test_582,0.0034313202,0.41625977,0.42797852
test_583,0.010734558,0.1809082,0.6118164
test_584,0.00349617,0.9716797,0.16491699
test_585,0.0054893494,0.7685547,0.88720703
test_586,0.17358398,0.2475586,0.109313965
test_587,0.012817383,0.25341797,0.1665039
test_588,0.0034427643,0.7241211,0.45117188
test_589,0.0018815994,0.23486328,0.9707031
test_590,0.009094238,0.15576172,0.1348877
test_591,0.004009247,0.85546875,0.5620117
test_592,0.0021572113,0.2861328,0.24609375
test_593,0.015670776,0.94384766,0.43920898
test_595,0.004299164,0.8989258,0.515625
test_596,0.013748169,0.9116211,0.79541016
test_597,0.02859497,0.984375,0.5576172
test_598,0.0052375793,0.88720703,0.21801758
test_599,0.006542206,0.57666016,0.4580078
test_600,0.004070282,0.6791992,0.18371582
test_601,0.0038089752,0.0993042,0.09338379
test_602,0.0016355515,0.6069336,0.22033691
test_603,0.24084473,0.93603516,0.93603516
test_604,0.0043144226,0.7080078,0.4802246
test_605,0.008674622,0.8588867,0.39453125
test_606,0.003074646,0.6123047,0.77685547
test_607,0.009338379,0.29785156,0.9165039
test_608,0.05886841,0.9589844,0.42529297
test_609,0.1227417,0.9760742,0.5600586
test_610,0.0032463074,0.69873047,0.63720703
test_611,0.0031604767,0.9892578,0.25830078
test_612,0.0038833618,0.62890625,0.58447266
test_613,0.00299263,0.9560547,0.5078125
test_615,0.005405426,0.9873047,0.46972656
test_616,0.011207581,0.18737793,0.37548828
test_617,0.016220093,0.97265625,0.07952881
test_618,0.0023784637,0.5292969,0.6923828
test_619,0.0046806335,0.9902344,0.6479492
test_620,0.07562256,0.65722656,0.6455078
test_621,0.4086914,0.69628906,0.48901367
test_622,0.007286072,0.084472656,0.6513672
test_623,0.008880615,0.81640625,0.6459961
test_624,0.0046081543,0.5991211,0.13781738
test_625,0.0061912537,0.4946289,0.47583008
test_626,0.08465576,0.96240234,0.71728516
test_627,0.006515503,0.14892578,0.6928711
test_628,0.019195557,0.22851562,0.5449219
test_629,0.041931152,0.9394531,0.86621094
test_630,0.8413086,0.17175293,0.10144043
test_631,0.07489014,0.9980469,0.35864258
test_632,0.022232056,0.97509766,0.12084961
test_633,0.0056419373,0.9819336,0.21960449
test_634,0.010047913,0.63378906,0.14941406
test_635,0.005279541,0.7207031,0.30541992
test_636,0.009559631,0.90283203,0.23876953
test_637,0.01537323,0.9970703,0.29956055
